,id,name,album_type,release_date,total_tracks,image,url,uri,duration_ms
0,55k2y2CMY7Xkw7T3t26MTS,We've Been Going About This All Wrong (Deluxe Edition),album,2022-11-11,14,https://i.scdn.co/image/ab67616d00001e029c1a8c6308fe87246c2e6ddc,https://open.spotify.com/album/55k2y2CMY7Xkw7T3t26MTS,spotify:album:55k2y2CMY7Xkw7T3t26MTS,3341597
1,3PqowBonjatEu0P7g5AIHr,We've Been Going About This All Wrong,album,2022-05-06,10,https://i.scdn.co/image/ab67616d00001e025e9c081c64e3a4440be1a739,https://open.spotify.com/album/3PqowBonjatEu0P7g5AIHr,spotify:album:3PqowBonjatEu0P7g5AIHr,2359531
2,5puci7s1cYi93iBURc6z4T,Epic Ten,album,2021-04-16,14,https://i.scdn.co/image/ab67616d00001e022dd16958f84f07e0f63d5a67,https://open.spotify.com/album/5puci7s1cYi93iBURc6z4T,spotify:album:5puci7s1cYi93iBURc6z4T,3724724
3,4bfvR9TMwCm2tzXpboLH3t,Remind Me Tomorrow,album,2019-01-18,10,https://i.scdn.co/image/ab67616d00001e023ba1f72fb3bf152db4547435,https://open.spotify.com/album/4bfvR9TMwCm2tzXpboLH3t,spotify:album:4bfvR9TMwCm2tzXpboLH3t,2477292
4,6EQWzHbd3EYO8J4EAIJst4,Are We There,album,2014-05-27,11,https://i.scdn.co/image/ab67616d00001e0221e7e202974e7d0ee0ec4e60,https://open.spotify.com/album/6EQWzHbd3EYO8J4EAIJst4,spotify:album:6EQWzHbd3EYO8J4EAIJst4,2822503
5,6osxQZGs4PSQelUKNXS19u,Tramp (Deluxe Edition),album,2012-11-13,25,https://i.scdn.co/image/ab67616d00001e02ce072e59bb01c3f3d673d48c,https://open.spotify.com/album/6osxQZGs4PSQelUKNXS19u,spotify:album:6osxQZGs4PSQelUKNXS19u,6201019
6,1StZHZ13mdQcQPG8QQjndF,Tramp,album,2012-02-07,12,https://i.scdn.co/image/ab67616d00001e02f175274ca503e74b34851784,https://open.spotify.com/album/1StZHZ13mdQcQPG8QQjndF,spotify:album:1StZHZ13mdQcQPG8QQjndF,2783436
7,7mfSdEokzQjI5AxwrRauZv,Epic,album,2010-09-21,7,https://i.scdn.co/image/ab67616d00001e028c73ffae872bd99100e51cdb,https://open.spotify.com/album/7mfSdEokzQjI5AxwrRauZv,spotify:album:7mfSdEokzQjI5AxwrRauZv,1931105
8,04hbnZg2TBWP0opEaOdoaV,(It Was) Because I Was in Love (Deluxe Reissue),album,2009-05-26,13,https://i.scdn.co/image/ab67616d00001e02b2a0a27d4c9a9a1b27cbc12f,https://open.spotify.com/album/04hbnZg2TBWP0opEaOdoaV,spotify:album:04hbnZg2TBWP0opEaOdoaV,3171211
9,3r8mKxg4RO934B6fksLCqN,Because I Was In Love,album,2009-05-20,11,https://i.scdn.co/image/ab67616d00001e028e2b4229324f01f9a3f6d08f,https://open.spotify.com/album/3r8mKxg4RO934B6fksLCqN,spotify:album:3r8mKxg4RO934B6fksLCqN,2684663
10,1kfPbv9rWWhaHV2cAivjiN,Never Gonna Change,single,2022-10-05,1,https://i.scdn.co/image/ab67616d00001e02208cc171594c2fed9bec501f,https://open.spotify.com/album/1kfPbv9rWWhaHV2cAivjiN,spotify:album:1kfPbv9rWWhaHV2cAivjiN,218720
11,6FjwmEJ09Nu7Wbh3FxwRKt,Used To It,single,2022-03-01,2,https://i.scdn.co/image/ab67616d00001e02a331bc01bcdc80fcbe864329,https://open.spotify.com/album/6FjwmEJ09Nu7Wbh3FxwRKt,spotify:album:6FjwmEJ09Nu7Wbh3FxwRKt,478080
12,4qf9PU9z1f7qql846P9bYO,Porta,single,2022-02-08,1,https://i.scdn.co/image/ab67616d00001e0239191290c643653a85acdc37,https://open.spotify.com/album/4qf9PU9z1f7qql846P9bYO,spotify:album:4qf9PU9z1f7qql846P9bYO,206960
13,6tKQyT3LHSMOsObqfk264N,Femme Fatale,single,2021-09-17,1,https://i.scdn.co/image/ab67616d00001e026de95c3d6fad9c54252ab5f2,https://open.spotify.com/album/6tKQyT3LHSMOsObqfk264N,spotify:album:6tKQyT3LHSMOsObqfk264N,282773
14,7uHg8PgXRvRgrzSscVAZ6M,Like I Used To (Acoustic Version),single,2021-08-10,1,https://i.scdn.co/image/ab67616d00001e027ae1b83a6faa97bda2291164,https://open.spotify.com/album/7uHg8PgXRvRgrzSscVAZ6M,spotify:album:7uHg8PgXRvRgrzSscVAZ6M,241875
15,0nRjg8p3TOmImvztpYncra,Like I Used To,single,2021-05-21,1,https://i.scdn.co/image/ab67616d00001e02c761379af65a260f09068d23,https://open.spotify.com/album/0nRjg8p3TOmImvztpYncra,spotify:album:0nRjg8p3TOmImvztpYncra,263754
16,5l3iQCDSQGliaaUkrptqVQ,Let Go b/w Some Things Last A Long Time,single,2021-04-30,2,https://i.scdn.co/image/ab67616d00001e026fd1d9ff503e1a9c5cad6b16,https://open.spotify.com/album/5l3iQCDSQGliaaUkrptqVQ,spotify:album:5l3iQCDSQGliaaUkrptqVQ,651480
17,4D9yKvI6bRzSoRLhMODDQT,On Your Way Now,single,2021-02-12,1,https://i.scdn.co/image/ab67616d00001e027ffa748b0fe89d9ccba9bf2b,https://open.spotify.com/album/4D9yKvI6bRzSoRLhMODDQT,spotify:album:4D9yKvI6bRzSoRLhMODDQT,174432
18,2LPetL2iAG5jqVLPaKJPHc,In My Room,single,2021-01-27,1,https://i.scdn.co/image/ab67616d00001e021fb815542a1b58a9a4ee7a5c,https://open.spotify.com/album/2LPetL2iAG5jqVLPaKJPHc,spotify:album:2LPetL2iAG5jqVLPaKJPHc,165213
19,2uV3toNhIWZJx63And14NO,Silent Night b/w Blue Christmas,single,2020-11-13,2,https://i.scdn.co/image/ab67616d00001e02ccb48fbd8c90bf635eb3ffd3,https://open.spotify.com/album/2uV3toNhIWZJx63And14NO,spotify:album:2uV3toNhIWZJx63And14NO,317119
20,5TQRtgQRRNiXb2fIah2lE4,Lemon [Feat. Sharon Van Etten],single,2020-10-16,2,https://i.scdn.co/image/ab67616d00001e027e03f3c0ed84e9db3e6e645b,https://open.spotify.com/album/5TQRtgQRRNiXb2fIah2lE4,spotify:album:5TQRtgQRRNiXb2fIah2lE4,434560
21,5NRQoXu68ypYS1QUyZc1Yx,Let Go,single,2020-10-14,1,https://i.scdn.co/image/ab67616d00001e02e6cd398dc6c59db8bf36d9ec,https://open.spotify.com/album/5NRQoXu68ypYS1QUyZc1Yx,spotify:album:5NRQoXu68ypYS1QUyZc1Yx,282045
22,5MXBqDesl1ZcPL5ZilerUp,"(What's So Funny 'Bout) Peace, Love and Understanding?",single,2020-05-15,1,https://i.scdn.co/image/ab67616d00001e02cec20a89178df4b9ca2db652,https://open.spotify.com/album/5MXBqDesl1ZcPL5ZilerUp,spotify:album:5MXBqDesl1ZcPL5ZilerUp,266093
23,7tcF8p6M2p8AivuCf02lIf,Seventeen (feat. Norah Jones),single,2020-03-27,1,https://i.scdn.co/image/ab67616d00001e02947a42098462358acc57129b,https://open.spotify.com/album/7tcF8p6M2p8AivuCf02lIf,spotify:album:7tcF8p6M2p8AivuCf02lIf,293029
24,0ZmCg7P0WvW6MZSTS9D1Wi,Staring at a Mountain,single,2020-03-10,1,https://i.scdn.co/image/ab67616d00001e02e6b8b5d0bc6383ce4364a4bc,https://open.spotify.com/album/0ZmCg7P0WvW6MZSTS9D1Wi,spotify:album:0ZmCg7P0WvW6MZSTS9D1Wi,242929
25,6Jjwvjc78BPivBcRttzZg6,Beaten Down,single,2020-02-05,1,https://i.scdn.co/image/ab67616d00001e025fdf6e070eae92ba0f19e256,https://open.spotify.com/album/6Jjwvjc78BPivBcRttzZg6,spotify:album:6Jjwvjc78BPivBcRttzZg6,284706
26,0dAWE6Lx80hREPthHU0MdY,Keep,single,2017-11-09,1,https://i.scdn.co/image/ab67616d00001e024ebd9bc887d7ff4b94a99a26,https://open.spotify.com/album/0dAWE6Lx80hREPthHU0MdY,spotify:album:0dAWE6Lx80hREPthHU0MdY,298960
27,55MEStsCnRChtFW0bCnz1N,I Wish I Knew,single,2017-10-03,1,https://i.scdn.co/image/ab67616d00001e02550accdc16f376cffccbe3a4,https://open.spotify.com/album/55MEStsCnRChtFW0bCnz1N,spotify:album:55MEStsCnRChtFW0bCnz1N,229626
28,7foQLJO9rGAlWMWYdrGcKI,Omnion (Remixes),single,2017-07-14,4,https://i.scdn.co/image/ab67616d00001e02fb81e7ef4fa5b1e84e3a5ede,https://open.spotify.com/album/7foQLJO9rGAlWMWYdrGcKI,spotify:album:7foQLJO9rGAlWMWYdrGcKI,1707278
29,5Pt2V7629p7PBIqALDGhf0,Omnion (Remixes),single,2017-07-14,4,https://i.scdn.co/image/ab67616d00001e02631fc778e74925f0caeb4ca1,https://open.spotify.com/album/5Pt2V7629p7PBIqALDGhf0,spotify:album:5Pt2V7629p7PBIqALDGhf0,1707278
30,1GRzxhS1ujJU2bdMjjwMy8,Not Myself (Hercules & Love Affair Remix),single,2017-06-13,1,https://i.scdn.co/image/ab67616d00001e02372ac97659b3fb281ef7fc54,https://open.spotify.com/album/1GRzxhS1ujJU2bdMjjwMy8,spotify:album:1GRzxhS1ujJU2bdMjjwMy8,325852
31,1mucviYBsV3qhlMmO0wSgz,The End of the World,single,2017-03-03,1,https://i.scdn.co/image/ab67616d00001e02968afa5cc1006e6dab6dc845,https://open.spotify.com/album/1mucviYBsV3qhlMmO0wSgz,spotify:album:1mucviYBsV3qhlMmO0wSgz,178640
32,4nD66VWQwueO0JYzRhsgpK,Not Myself,single,2016-08-23,1,https://i.scdn.co/image/ab67616d00001e029c14522fee94097c9b880a56,https://open.spotify.com/album/4nD66VWQwueO0JYzRhsgpK,spotify:album:4nD66VWQwueO0JYzRhsgpK,281148
33,7v3Ib81MvG9tVA4c2lKdVp,"Words (Music from the Film ""Tig"")",single,2015-07-17,1,https://i.scdn.co/image/ab67616d00001e02279bbeea6d5521d9f303f1ed,https://open.spotify.com/album/7v3Ib81MvG9tVA4c2lKdVp,spotify:album:7v3Ib81MvG9tVA4c2lKdVp,250680
34,4109aQhIlnT1SCw6az5xg9,I Don't Want To Let You Down b/w All Over Again,single,2015-06-09,2,https://i.scdn.co/image/ab67616d00001e02f75e8e06ce07e3ce86e2eaa5,https://open.spotify.com/album/4109aQhIlnT1SCw6az5xg9,spotify:album:4109aQhIlnT1SCw6az5xg9,486972
35,5UVmb4QMvHK0sJV7UaUax9,I Don't Want to Let You Down,single,2015-06-09,5,https://i.scdn.co/image/ab67616d00001e02be35ee64675f430aadd0667a,https://open.spotify.com/album/5UVmb4QMvHK0sJV7UaUax9,spotify:album:5UVmb4QMvHK0sJV7UaUax9,1337932
36,6i9AX3K3l4YSKLMlelYbqH,Spotify Sessions,single,2014-11-25,4,https://i.scdn.co/image/ab67616d00001e022db0e3ece1c025dd4d2b6b71,https://open.spotify.com/album/6i9AX3K3l4YSKLMlelYbqH,spotify:album:6i9AX3K3l4YSKLMlelYbqH,1046919
37,2GBrWVTav4A3SeA9vFaYPf,Our Love (The Juan MacLean Remix),single,2014-09-29,1,https://i.scdn.co/image/ab67616d00001e02d18afbc37ac0a913dc1a9f92,https://open.spotify.com/album/2GBrWVTav4A3SeA9vFaYPf,spotify:album:2GBrWVTav4A3SeA9vFaYPf,451111
38,1rpry3Ll1VaPGm94XDbVh8,We Are Fine b/w Hotel 2 Tango,single,2013-04-20,2,https://i.scdn.co/image/ab67616d00001e02f8d5b713038be4c7967dde6b,https://open.spotify.com/album/1rpry3Ll1VaPGm94XDbVh8,spotify:album:1rpry3Ll1VaPGm94XDbVh8,411866
39,62Vk7ewZhzE5Ar6Iia4wuH,Leonard b/w Life of His Own,single,2012-03-06,2,https://i.scdn.co/image/ab67616d00001e02dd99613d1c562d1830b3450e,https://open.spotify.com/album/62Vk7ewZhzE5Ar6Iia4wuH,spotify:album:62Vk7ewZhzE5Ar6Iia4wuH,455853
40,3cV7XGoml1fEvjBUtK2jwq,Serpents b/w Mike McDermott,single,2011-11-29,2,https://i.scdn.co/image/ab67616d00001e02a28cbd69e71f145aaeef179a,https://open.spotify.com/album/3cV7XGoml1fEvjBUtK2jwq,spotify:album:3cV7XGoml1fEvjBUtK2jwq,379826
41,5W94462wXUFfh9Wh6prhMB,Like a Diamond,single,2011-04-26,1,https://i.scdn.co/image/ab67616d00001e020822c753e797b86d203ebc23,https://open.spotify.com/album/5W94462wXUFfh9Wh6prhMB,spotify:album:5W94462wXUFfh9Wh6prhMB,212416
42,6USNAadP5IgSCvNtGgRr3x,Love More - Single,single,2010-01-26,1,https://i.scdn.co/image/ab67616d00001e02015577ab65d97bf1a1aa87b9,https://open.spotify.com/album/6USNAadP5IgSCvNtGgRr3x,spotify:album:6USNAadP5IgSCvNtGgRr3x,313721
